round,left_agent,right_agent,left_score,right_score,left_reward,right_reward,left_status,right_status
1,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,2,0,2,-2,DONE,DONE
1,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,7,1,6,-6,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,3,5,-2,2,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,0,3,-3,3,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,3,2,1,-1,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,4,1,3,-3,DONE,DONE
2,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,4,1,3,-3,DONE,DONE
2,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,0,3,-3,3,DONE,DONE
2,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,5,1,4,-4,DONE,DONE
2,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,1,2,-1,1,DONE,DONE
2,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,4,0,4,-4,DONE,DONE
2,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,3,0,3,-3,DONE,DONE
3,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,0,1,-1,1,DONE,DONE
3,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,3,2,1,-1,DONE,DONE
3,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,1,1,0,0,DONE,DONE
3,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,3,0,3,-3,DONE,DONE
3,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,2,1,1,-1,DONE,DONE
3,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,1,2,-1,1,DONE,DONE
3,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,7,0,7,-7,DONE,DONE
3,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,4,0,4,-4,DONE,DONE
3,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,5,1,4,-4,DONE,DONE
3,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,1,1,0,0,DONE,DONE
4,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,4,3,1,-1,DONE,DONE
4,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,4,4,0,0,DONE,DONE
4,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,0,3,-3,3,DONE,DONE
4,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,8,0,8,-8,DONE,DONE
4,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,5,1,4,-4,DONE,DONE
4,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,3,4,-1,1,DONE,DONE
4,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,2,2,0,0,DONE,DONE
4,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,1,2,-1,1,DONE,DONE
4,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,2,1,1,-1,DONE,DONE
4,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,3,0,3,-3,DONE,DONE
5,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,2,2,0,0,DONE,DONE
5,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,4,1,3,-3,DONE,DONE
5,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,4,2,2,-2,DONE,DONE
5,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,6,0,6,-6,DONE,DONE
5,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,5,1,4,-4,DONE,DONE
5,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,2,3,-1,1,DONE,DONE
5,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,2,1,1,-1,DONE,DONE
5,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,5,0,5,-5,DONE,DONE
5,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,7,1,6,-6,DONE,DONE
5,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,4,0,4,-4,DONE,DONE
6,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,4,0,4,-4,DONE,DONE
6,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,3,5,-2,2,DONE,DONE
6,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,0,7,-7,7,DONE,DONE
6,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,3,1,2,-2,DONE,DONE
6,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,1,1,0,0,DONE,DONE
6,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,2,2,0,0,DONE,DONE
6,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,4,0,4,-4,DONE,DONE
6,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,2,5,-3,3,DONE,DONE
6,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,4,0,4,-4,DONE,DONE
6,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,3,0,3,-3,DONE,DONE
7,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,0,1,-1,1,DONE,DONE
7,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,5,4,1,-1,DONE,DONE
7,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,4,4,0,0,DONE,DONE
7,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,1,1,0,0,DONE,DONE
7,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,1,1,0,0,DONE,DONE
7,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,1,2,-1,1,DONE,DONE
7,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,3,0,3,-3,DONE,DONE
7,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,4,1,3,-3,DONE,DONE
7,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,1,0,1,-1,DONE,DONE
7,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,5,2,100,,DONE,TIMEOUT
8,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,1,1,0,0,DONE,DONE
8,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,1,2,-1,1,DONE,DONE
8,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,2,2,0,0,DONE,DONE
8,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,4,1,3,-3,DONE,DONE
8,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,3,0,3,-3,DONE,DONE
8,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,2,4,-2,2,DONE,DONE
8,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,2,0,2,-2,DONE,DONE
8,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,4,1,3,-3,DONE,DONE
8,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,3,2,100,,DONE,TIMEOUT
8,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,4,0,4,-4,DONE,DONE
9,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,1,0,1,-1,DONE,DONE
9,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,1,3,-2,2,DONE,DONE
9,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,6,1,5,-5,DONE,DONE
9,tunable-baseline-bot/submission_v6.py,smart-control-strategy/submission_v3.py,4,2,100,,DONE,TIMEOUT
9,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,3,3,0,0,DONE,DONE
9,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,2,2,0,0,DONE,DONE
9,best-open-rules-bot/submission_v2.py,smart-control-strategy/submission_v3.py,1,0,100,,DONE,TIMEOUT
9,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,3,1,2,-2,DONE,DONE
9,gfootball-with-memory-patterns/submission_v15.py,smart-control-strategy/submission_v3.py,4,0,100,,DONE,TIMEOUT
9,gfootball-with-memory-patterns/submission_v28.py,smart-control-strategy/submission_v3.py,4,0,100,,DONE,TIMEOUT
